Day,Location,TotalConfirmed,Discharged,Deaths,Active
19-03-2020,Uttar Pradesh,19,9,0,10
,,,,,
19-03-2020,Uttarakhand,1,0,0,1
,,,,,
19-03-2020,West Bengal,1,0,0,1
,,,,,
20-03-2020,Andhra Pradesh,3,0,0,3
,,,,,
20-03-2020,Chhattisgarh,1,0,0,1
,,,,,
20-03-2020,Delhi,17,5,1,11
,,,,,
20-03-2020,Gujarat,5,0,0,5
,,,,,
20-03-2020,Haryana,17,0,0,17
,,,,,
20-03-2020,Karnataka,15,1,1,13
,,,,,
20-03-2020,Kerala,28,3,0,25
,,,,,
20-03-2020,Maharashtra,52,0,1,51
,,,,,
20-03-2020,Odisha,2,0,0,2
,,,,,
20-03-2020,Puducherry,1,0,0,1
,,,,,
20-03-2020,Punjab,2,0,1,1
,,,,,
20-03-2020,Rajasthan,17,3,0,14
,,,,,
20-03-2020,Tamil Nadu,3,1,0,2
,,,,,
20-03-2020,Telengana,17,1,0,16
,,,,,
20-03-2020,Chandigarh,1,0,0,1
,,,,,
20-03-2020,Jammu and Kashmir,4,0,0,4
,,,,,
20-03-2020,Ladakh,10,0,0,10
,,,,,
20-03-2020,Uttar Pradesh,23,9,0,14
,,,,,
20-03-2020,Uttarakhand,3,0,0,3
,,,,,
20-03-2020,West Bengal,2,0,0,2
,,,,,
21-03-2020,Andhra Pradesh,3,0,0,3
,,,,,
21-03-2020,Chhattisgarh,1,0,0,1
,,,,,
21-03-2020,Delhi,26,5,1,20
,,,,,
21-03-2020,Gujarat,7,0,0,7
,,,,,
21-03-2020,Haryana,17,0,0,17
,,,,,
21-03-2020,Himachal Pradesh,2,0,0,2
,,,,,
21-03-2020,Karnataka,15,1,1,13
,,,,,
21-03-2020,Kerala,40,3,0,37
,,,,,
21-03-2020,Madhya Pradesh,4,0,0,4
,,,,,
21-03-2020,Maharashtra,63,0,1,62
,,,,,
21-03-2020,Odisha,2,0,0,2
,,,,,
21-03-2020,Puducherry,1,0,0,1
,,,,,
21-03-2020,Punjab,13,0,1,12
,,,,,
21-03-2020,Rajasthan,17,3,0,14
,,,,,
21-03-2020,Tamil Nadu,3,1,0,2
,,,,,
21-03-2020,Telengana,21,1,0,20
,,,,,
21-03-2020,Chandigarh,1,0,0,1
,,,,,
21-03-2020,Jammu and Kashmir,4,0,0,4
,,,,,
21-03-2020,Ladakh,13,0,0,13
,,,,,
21-03-2020,Uttar Pradesh,24,9,0,15
,,,,,
21-03-2020,Uttarakhand,3,0,0,3
,,,,,
21-03-2020,West Bengal,3,0,0,3
,,,,,
22-03-2020,Andhra Pradesh,5,0,0,5
,,,,,
22-03-2020,Bihar,2,0,1,1
,,,,,
22-03-2020,Chhattisgarh,1,0,0,1
,,,,,
22-03-2020,Delhi,29,5,1,23
,,,,,
22-03-2020,Gujarat,18,0,1,17
,,,,,
22-03-2020,Haryana,21,0,0,21
,,,,,
22-03-2020,Himachal Pradesh,2,0,0,2
,,,,,
22-03-2020,Karnataka,26,2,1,23
,,,,,
22-03-2020,Kerala,52,3,0,49
,,,,,
22-03-2020,Madhya Pradesh,4,0,0,4
,,,,,
22-03-2020,Maharashtra,67,0,2,65
,,,,,
22-03-2020,Odisha,2,0,0,2
,,,,,
22-03-2020,Puducherry,1,0,0,1
,,,,,
22-03-2020,Punjab,21,0,1,20
,,,,,
22-03-2020,Rajasthan,24,3,0,21
,,,,,
22-03-2020,Tamil Nadu,7,1,0,6
,,,,,
22-03-2020,Telengana,22,1,0,21
,,,,,
22-03-2020,Chandigarh,5,0,0,5
,,,,,
22-03-2020,Jammu and Kashmir,4,0,0,4
,,,,,
22-03-2020,Ladakh,13,0,0,13
,,,,,
22-03-2020,Uttar Pradesh,27,9,0,18
,,,,,
22-03-2020,Uttarakhand,3,0,0,3
,,,,,
22-03-2020,West Bengal,4,0,0,4
,,,,,
23-03-2020,Andhra Pradesh,7,0,0,7
,,,,,
23-03-2020,Bihar,2,0,1,1
,,,,,
23-03-2020,Chhattisgarh,1,0,0,1
,,,,,
23-03-2020,Delhi,29,5,1,23
,,,,,
23-03-2020,Gujarat,29,0,1,28
,,,,,
23-03-2020,Haryana,26,11,0,15
,,,,,
23-03-2020,Himachal Pradesh,2,0,0,2
,,,,,
23-03-2020,Karnataka,33,2,1,30
,,,,,
23-03-2020,Kerala,67,3,0,64
,,,,,
23-03-2020,Madhya Pradesh,6,0,0,6
,,,,,
23-03-2020,Maharashtra,74,0,2,72
,,,,,
23-03-2020,Odisha,2,0,0,2
,,,,,
23-03-2020,Puducherry,1,0,0,1
,,,,,
23-03-2020,Punjab,21,0,1,20
,,,,,
23-03-2020,Rajasthan,28,3,0,25
,,,,,
23-03-2020,Tamil Nadu,9,1,0,8
,,,,,
23-03-2020,Telengana,32,1,0,31
,,,,,
23-03-2020,Chandigarh,6,0,0,6
,,,,,
23-03-2020,Jammu and Kashmir,4,0,0,4
,,,,,
23-03-2020,Ladakh,13,0,0,13
,,,,,
23-03-2020,Uttar Pradesh,31,9,0,22
,,,,,
23-03-2020,Uttarakhand,3,0,0,3
,,,,,
23-03-2020,West Bengal,7,0,1,6
,,,,,
24-03-2020,Andhra Pradesh,8,0,0,8
,,,,,
24-03-2020,Bihar,3,0,1,2
,,,,,
24-03-2020,Chhattisgarh,1,0,0,1
,,,,,
24-03-2020,Delhi,30,6,2,22
,,,,,
24-03-2020,Gujarat,33,0,1,32
,,,,,
24-03-2020,Haryana,28,11,0,17
,,,,,
24-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
24-03-2020,Karnataka,37,3,1,33
,,,,,
24-03-2020,Kerala,95,4,0,91
,,,,,
24-03-2020,Madhya Pradesh,7,0,0,7
,,,,,
24-03-2020,Maharashtra,89,0,2,87
,,,,,
24-03-2020,Manipur,1,0,0,1
,,,,,
24-03-2020,Odisha,2,0,0,2
,,,,,
24-03-2020,Puducherry,1,0,0,1
,,,,,
24-03-2020,Punjab,29,0,1,28
,,,,,
24-03-2020,Rajasthan,32,3,0,29
,,,,,
24-03-2020,Tamil Nadu,15,1,0,14
,,,,,
24-03-2020,Telengana,35,1,0,34
,,,,,
24-03-2020,Chandigarh,7,0,0,7
,,,,,
24-03-2020,Jammu and Kashmir,4,0,0,4
,,,,,
24-03-2020,Ladakh,13,0,0,13
,,,,,
24-03-2020,Uttar Pradesh,33,11,0,22
,,,,,
24-03-2020,Uttarakhand,4,0,0,4
,,,,,
24-03-2020,West Bengal,9,0,1,8
,,,,,
25-03-2020,Andhra Pradesh,9,1,0,8
,,,,,
25-03-2020,Bihar,4,0,1,3
,,,,,
25-03-2020,Chhattisgarh,1,0,0,1
,,,,,
25-03-2020,Delhi,31,6,1,24
,,,,,
25-03-2020,Gujarat,38,0,1,37
,,,,,
25-03-2020,Haryana,28,11,0,17
,,,,,
25-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
25-03-2020,Karnataka,41,3,1,37
,,,,,
25-03-2020,Kerala,109,4,0,105
,,,,,
25-03-2020,Madhya Pradesh,14,0,0,14
,,,,,
25-03-2020,Maharashtra,128,1,3,124
,,,,,
25-03-2020,Manipur,1,0,0,1
,,,,,
25-03-2020,Mizoram,1,0,0,1
,,,,,
25-03-2020,Odisha,2,0,0,2
,,,,,
25-03-2020,Puducherry,1,0,0,1
,,,,,
25-03-2020,Punjab,29,0,1,28
,,,,,
25-03-2020,Rajasthan,36,3,0,33
,,,,,
25-03-2020,Tamil Nadu,18,1,0,17
,,,,,
25-03-2020,Telengana,35,1,0,34
,,,,,
25-03-2020,Chandigarh,7,0,0,7
,,,,,
25-03-2020,Jammu and Kashmir,7,1,0,6
,,,,,
25-03-2020,Ladakh,13,0,0,13
,,,,,
25-03-2020,Uttar Pradesh,37,11,0,26
,,,,,
25-03-2020,Uttarakhand,4,0,0,4
,,,,,
25-03-2020,West Bengal,9,0,1,8
,,,,,
26-03-2020,Andaman and Nicobar Islands,1,0,0,1
,,,,,
26-03-2020,Andhra Pradesh,11,1,0,10
,,,,,
26-03-2020,Bihar,6,0,1,5
,,,,,
26-03-2020,Chandigarh,7,0,0,7
,,,,,
26-03-2020,Chhattisgarh,6,0,0,6
,,,,,
26-03-2020,Delhi,36,6,1,29
,,,,,
26-03-2020,Goa,3,0,0,3
,,,,,
26-03-2020,Gujarat,43,0,3,40
,,,,,
26-03-2020,Haryana,30,11,0,19
,,,,,
26-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
26-03-2020,Jammu and Kashmir,13,1,0,12
,,,,,
26-03-2020,Karnataka,55,3,2,50
,,,,,
26-03-2020,Kerala,118,6,0,112
,,,,,
26-03-2020,Ladakh,13,0,0,13
,,,,,
26-03-2020,Madhya Pradesh,20,0,1,19
,,,,,
26-03-2020,Maharashtra,124,1,3,120
,,,,,
26-03-2020,Manipur,1,0,0,1
,,,,,
26-03-2020,Mizoram,1,0,0,1
,,,,,
26-03-2020,Odisha,2,0,0,2
,,,,,
26-03-2020,Puducherry,1,0,0,1
,,,,,
26-03-2020,Punjab,33,0,1,32
,,,,,
26-03-2020,Rajasthan,41,3,0,38
,,,,,
26-03-2020,Tamil Nadu,26,1,1,24
,,,,,
26-03-2020,Telengana,44,1,0,43
,,,,,
26-03-2020,Uttarakhand,5,0,0,5
,,,,,
26-03-2020,Uttar Pradesh,41,11,0,30
,,,,,
26-03-2020,West Bengal,10,0,1,9
,,,,,
27-03-2020,Andaman and Nicobar Islands,1,0,0,1
,,,,,
27-03-2020,Andhra Pradesh,12,1,0,11
,,,,,
27-03-2020,Bihar,6,0,1,5
,,,,,
27-03-2020,Chandigarh,7,0,0,7
,,,,,
27-03-2020,Chhattisgarh,6,0,0,6
,,,,,
27-03-2020,Delhi,36,6,1,29
,,,,,
27-03-2020,Goa,3,0,0,3
,,,,,
27-03-2020,Gujarat,43,0,3,40
,,,,,
27-03-2020,Haryana,30,11,0,19
,,,,,
27-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
27-03-2020,Jammu and Kashmir,13,1,1,11
,,,,,
27-03-2020,Karnataka,55,3,2,50
,,,,,
27-03-2020,Kerala,137,11,0,126
,,,,,
27-03-2020,Ladakh,13,3,0,10
,,,,,
27-03-2020,Madhya Pradesh,20,0,1,19
,,,,,
27-03-2020,Maharashtra,130,15,4,111
,,,,,
27-03-2020,Manipur,1,0,0,1
,,,,,
27-03-2020,Mizoram,1,0,0,1
,,,,,
27-03-2020,Odisha,2,0,0,2
,,,,,
27-03-2020,Puducherry,1,0,0,1
,,,,,
27-03-2020,Punjab,33,0,1,32
,,,,,
27-03-2020,Rajasthan,41,3,0,38
,,,,,
27-03-2020,Tamil Nadu,29,1,1,27
,,,,,
27-03-2020,Telengana,45,1,0,44
,,,,,
27-03-2020,Uttarakhand,5,0,0,5
,,,,,
27-03-2020,Uttar Pradesh,41,11,0,30
,,,,,
27-03-2020,West Bengal,10,0,1,9
,,,,,
28-03-2020,Andhra Pradesh,14,1,0,13
,,,,,
28-03-2020,Andaman and Nicobar Islands,6,0,0,6
,,,,,
28-03-2020,Bihar,9,0,1,8
,,,,,
28-03-2020,Chandigarh,8,0,0,8
,,,,,
28-03-2020,Chhattisgarh,6,0,0,6
,,,,,
28-03-2020,Delhi,39,6,1,32
,,,,,
28-03-2020,Goa,3,0,0,3
,,,,,
28-03-2020,Gujarat,45,0,3,42
,,,,,
28-03-2020,Haryana,33,12,0,21
,,,,,
28-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
28-03-2020,Jammu and Kashmir,20,1,1,18
,,,,,
28-03-2020,Karnataka,55,3,2,50
,,,,,
28-03-2020,Kerala,176,11,0,165
,,,,,
28-03-2020,Ladakh,13,3,0,10
,,,,,
28-03-2020,Madhya Pradesh,30,0,2,28
,,,,,
28-03-2020,Maharashtra,180,25,5,150
,,,,,
28-03-2020,Manipur,1,0,0,1
,,,,,
28-03-2020,Mizoram,1,0,0,1
,,,,,
28-03-2020,Odisha,3,0,0,3
,,,,,
28-03-2020,Puducherry,1,0,0,1
,,,,,
28-03-2020,Punjab,38,1,1,36
,,,,,
28-03-2020,Rajasthan,54,3,0,51
,,,,,
28-03-2020,Tamil Nadu,40,2,1,37
,,,,,
28-03-2020,Telengana,56,1,0,55
,,,,,
28-03-2020,Uttarakhand,5,0,0,5
,,,,,
28-03-2020,Uttar Pradesh,55,11,0,44
,,,,,
28-03-2020,West Bengal,15,0,1,14
,,,,,
29-03-2020,Andhra Pradesh,19,1,0,18
,,,,,
29-03-2020,Andaman and Nicobar Islands,9,0,0,9
,,,,,
29-03-2020,Bihar,11,0,1,10
,,,,,
29-03-2020,Chandigarh,8,0,0,8
,,,,,
29-03-2020,Chhattisgarh,7,0,0,7
,,,,,
29-03-2020,Delhi,49,6,2,41
,,,,,
29-03-2020,Goa,5,0,0,5
,,,,,
29-03-2020,Gujarat,58,1,5,52
,,,,,
29-03-2020,Haryana,33,17,0,16
,,,,,
29-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
29-03-2020,Jammu and Kashmir,31,1,2,28
,,,,,
29-03-2020,Karnataka,76,5,3,68
,,,,,
29-03-2020,Kerala,182,15,1,166
,,,,,
29-03-2020,Ladakh,13,3,0,10
,,,,,
29-03-2020,Madhya Pradesh,30,0,2,28
,,,,,
29-03-2020,Maharashtra,186,25,6,155
,,,,,
29-03-2020,Manipur,1,0,0,1
,,,,,
29-03-2020,Mizoram,1,0,0,1
,,,,,
29-03-2020,Odisha,3,0,0,3
,,,,,
29-03-2020,Puducherry,1,0,0,1
,,,,,
29-03-2020,Punjab,38,1,1,36
,,,,,
29-03-2020,Rajasthan,55,3,0,52
,,,,,
29-03-2020,Tamil Nadu,49,4,1,44
,,,,,
29-03-2020,Telengana,66,1,1,64
,,,,,
29-03-2020,Uttarakhand,7,2,0,5
,,,,,
29-03-2020,Uttar Pradesh,65,11,0,54
,,,,,
29-03-2020,West Bengal,18,0,1,17
,,,,,
30-03-2020,Andhra Pradesh,23,1,0,22
,,,,,
30-03-2020,Andaman and Nicobar Islands,9,0,0,9
,,,,,
30-03-2020,Bihar,15,0,1,14
,,,,,
30-03-2020,Chandigarh,8,0,0,8
,,,,,
30-03-2020,Chhattisgarh,7,0,0,7
,,,,,
30-03-2020,Delhi,87,6,2,79
,,,,,
30-03-2020,Goa,5,0,0,5
,,,,,
30-03-2020,Gujarat,69,1,6,62
,,,,,
30-03-2020,Haryana,36,18,0,18
,,,,,
30-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
30-03-2020,Jammu and Kashmir,48,2,2,44
,,,,,
30-03-2020,Karnataka,83,5,3,75
,,,,,
30-03-2020,Kerala,202,19,1,182
,,,,,
30-03-2020,Ladakh,13,3,0,10
,,,,,
30-03-2020,Madhya Pradesh,47,0,3,44
,,,,,
30-03-2020,Maharashtra,198,25,8,165
,,,,,
30-03-2020,Manipur,1,0,0,1
,,,,,
30-03-2020,Mizoram,1,0,0,1
,,,,,
30-03-2020,Odisha,3,0,0,3
,,,,,
30-03-2020,Puducherry,1,0,0,1
,,,,,
30-03-2020,Punjab,38,1,1,36
,,,,,
30-03-2020,Rajasthan,59,3,0,56
,,,,,
30-03-2020,Tamil Nadu,67,4,1,62
,,,,,
30-03-2020,Telengana,71,1,1,69
,,,,,
30-03-2020,Uttarakhand,7,2,0,5
,,,,,
30-03-2020,Uttar Pradesh,82,11,0,71
,,,,,
30-03-2020,West Bengal,22,0,1,21
,,,,,
31-03-2020,Andhra Pradesh,40,1,0,39
,,,,,
31-03-2020,Andaman and Nicobar Islands,10,0,0,10
,,,,,
31-03-2020,Bihar,15,0,1,14
,,,,,
31-03-2020,Chandigarh,13,0,0,13
,,,,,
31-03-2020,Chhattisgarh,8,0,0,8
,,,,,
31-03-2020,Delhi,97,6,2,89
,,,,,
31-03-2020,Goa,5,0,0,5
,,,,,
31-03-2020,Gujarat,73,3,6,64
,,,,,
31-03-2020,Haryana,40,21,0,19
,,,,,
31-03-2020,Himachal Pradesh,3,0,1,2
,,,,,
31-03-2020,Jammu and Kashmir,54,2,2,50
,,,,,
31-03-2020,Karnataka,83,5,3,75
,,,,,
31-03-2020,Kerala,234,19,1,214
,,,,,
31-03-2020,Ladakh,13,3,0,10
,,,,,
31-03-2020,Madhya Pradesh,47,0,3,44
,,,,,
31-03-2020,Maharashtra,216,39,9,168
,,,,,
31-03-2020,Manipur,1,0,0,1
,,,,,
31-03-2020,Mizoram,1,0,0,1
,,,,,
31-03-2020,Odisha,3,0,0,3
,,,,,
31-03-2020,Puducherry,1,0,0,1
,,,,,
31-03-2020,Punjab,41,1,3,37
,,,,,
31-03-2020,Rajasthan,74,3,0,71
,,,,,
31-03-2020,Tamil Nadu,74,4,1,69
,,,,,
31-03-2020,Telengana,79,1,1,77
,,,,,
31-03-2020,Uttarakhand,7,2,0,5
,,,,,
31-03-2020,Uttar Pradesh,101,14,0,87
,,,,,
31-03-2020,West Bengal,26,0,2,24
,,,,,
01-04-2020,Andhra Pradesh,83,0,0,83
,,,,,
01-04-2020,Andaman and Nicobar Islands,10,1,0,9
,,,,,
01-04-2020,Assam,1,0,0,1
,,,,,
01-04-2020,Bihar,23,0,1,22
,,,,,
01-04-2020,Chandigarh,16,0,0,16
,,,,,
01-04-2020,Chhattisgarh,9,2,0,7
,,,,,
01-04-2020,Delhi,152,6,2,144
,,,,,
01-04-2020,Goa,5,0,0,5
,,,,,
01-04-2020,Gujarat,82,5,6,71
,,,,,
01-04-2020,Haryana,43,21,0,22
,,,,,
01-04-2020,Himachal Pradesh,3,0,1,2
,,,,,
01-04-2020,Jammu and Kashmir,62,2,2,58
,,,,,
01-04-2020,Jharkhand,1,0,0,1
,,,,,
01-04-2020,Karnataka,101,8,3,90
,,,,,
01-04-2020,Kerala,241,23,2,216
,,,,,
01-04-2020,Ladakh,13,3,0,10
,,,,,
01-04-2020,Madhya Pradesh,66,0,3,63
,,,,,
01-04-2020,Maharashtra,302,39,9,254
,,,,,
01-04-2020,Manipur,1,0,0,1
,,,,,
01-04-2020,Mizoram,1,0,0,1
,,,,,
01-04-2020,Odisha,4,0,0,4
,,,,,
01-04-2020,Puducherry,3,1,0,2
,,,,,
01-04-2020,Punjab,42,1,3,38
,,,,,
01-04-2020,Rajasthan,93,3,0,90
,,,,,
01-04-2020,Tamil Nadu,234,6,1,227
,,,,,
01-04-2020,Telengana,96,1,3,92
,,,,,
01-04-2020,Uttarakhand,7,2,0,5
,,,,,
01-04-2020,Uttar Pradesh,103,14,2,87
,,,,,
01-04-2020,West Bengal,37,6,3,28
,,,,,
02-04-2020,Andhra Pradesh,86,1,1,84
,,,,,
02-04-2020,Andaman and Nicobar Islands,10,0,0,10
,,,,,
02-04-2020,Assam,5,0,0,5
,,,,,
02-04-2020,Bihar,24,0,1,23
,,,,,
02-04-2020,Chandigarh,16,0,0,16
,,,,,
02-04-2020,Chhattisgarh,9,2,0,7
,,,,,
02-04-2020,Delhi,219,8,4,207
,,,,,
02-04-2020,Goa,5,0,0,5
,,,,,
02-04-2020,Gujarat,87,8,7,72
,,,,,
02-04-2020,Haryana,43,21,0,22
,,,,,
02-04-2020,Himachal Pradesh,3,1,1,1
,,,,,
02-04-2020,Jammu and Kashmir,62,2,2,58
,,,,,
02-04-2020,Jharkhand,1,0,0,1
,,,,,
02-04-2020,Karnataka,110,9,3,98
,,,,,
02-04-2020,Kerala,265,25,2,238
,,,,,
02-04-2020,Ladakh,13,3,0,10
,,,,,
02-04-2020,Madhya Pradesh,99,0,6,93
,,,,,
02-04-2020,Maharashtra,335,42,13,280
,,,,,
02-04-2020,Manipur,1,0,0,1
,,,,,
02-04-2020,Mizoram,1,0,0,1
,,,,,
02-04-2020,Odisha,4,0,0,4
,,,,,
02-04-2020,Puducherry,3,1,0,2
,,,,,
02-04-2020,Punjab,46,1,4,41
,,,,,
02-04-2020,Rajasthan,108,3,0,105
,,,,,
02-04-2020,Tamil Nadu,234,6,1,227
,,,,,
02-04-2020,Telengana,107,1,3,103
,,,,,
02-04-2020,Uttarakhand,7,2,0,5
,,,,,
